control_id,label,our_address,district,destination_lat,destination_lon,checked_date,manual_batch_id,yandex_destination_label,yandex_units_displayed,yandex_fastest_distance_mi,yandex_fastest_distance_km,yandex_fastest_duration_min,yandex_shortest_distance_mi,yandex_shortest_distance_km,yandex_shortest_duration_min,yandex_variant_count,yandex_main_streets,yandex_destination_street,yandex_destination_house,manual_entry_street,manual_entry_previous_street,manual_entry_next_street,manual_entry_landmark,manual_entry_evidence,manual_entry_method,manual_entry_confidence,yandex_district_entry_evidence,yandex_district_entry_confidence,yandex_district_entry,yandex_bridge_or_rail,yandex_uturn,matches_owner_corridor,current_osrm_km,yandex_minus_osrm_km,divergence_pct,calibration_status,notes,owner_review_required,matched_control_distance_m
MY-037,Протягайловка: Главная улица 2а,Главная улица 2а,Протягайловка,46.81659,29.4511,2026-07-26,YANDEX-MANUAL-BATCH-03,"улица Бориса Главана, 2А",мили (yandex.com),2.91,4.6832,8,2.85,4.5866,8,3,улица Сергея Лазо; улица Суворова; Первомайская улица; Коммунистическая улица; улица Ечина; Протягайловская улица; улица Бориса Главана,улица Бориса Главана,2А,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,нет,да,4.555,0.1282,2.7,ENGINE_MATCHES_MANUAL_CONTROL,вариантов: 3,True,
MY-038,Протягайловка: Комсомольская улица 2,Комсомольская улица 2,Протягайловка,46.81754,29.45254,2026-07-26,YANDEX-MANUAL-BATCH-03,"Комсомольская улица, 2",мили (yandex.com),3.0,4.828,8,2.96,4.7637,8,3,улица Сергея Лазо; улица Суворова; Первомайская улица; Коммунистическая улица; улица Ечина; Протягайловская улица; улица Бориса Главана; Комсомольская улица,Комсомольская улица,2,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,нет,да,4.8488,-0.0208,0.4,ENGINE_MATCHES_MANUAL_CONTROL,вариантов: 3,True,
MY-039,Протягайловка: Комсомольская улица 62,Комсомольская улица 62,Протягайловка,46.82207,29.44942,2026-07-26,YANDEX-MANUAL-BATCH-03,"Комсомольская улица, 62",мили (yandex.com),3.7,5.9546,10,3.3,5.3108,11,3,улица Сергея Лазо; улица Суворова; Первомайская улица; Коммунистическая улица; улица Ечина; улица Григория Старого; Комсомольская улица,Комсомольская улица,62,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,нет,да,5.7444,0.2102,3.5,ENGINE_MATCHES_MANUAL_CONTROL,вариантов: 3,True,
MY-040,Протягайловка: Первомайская улица 38,Первомайская улица 38,Протягайловка,46.82712,29.44292,2026-07-26,YANDEX-MANUAL-BATCH-03,"Первомайская улица, 38",мили (yandex.com),4.1,6.5983,11,3.9,6.2764,11,3,улица Сергея Лазо; улица Суворова; Первомайская улица; Коммунистическая улица; улица Ечина; улица Григория Старого; Первомайская улица,Первомайская улица,38,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,нет,да,6.4686,0.1297,2.0,ENGINE_MATCHES_MANUAL_CONTROL,вариантов: 3,True,
MY-041,Протягайловка: Садовая улица 32а,Садовая улица 32а,Протягайловка,46.84279,29.43724,2026-07-26,YANDEX-MANUAL-BATCH-03,"Садовая улица, 32А",мили (yandex.com),5.5,8.8514,18,5.5,8.8514,18,3,улица Сергея Лазо; улица Суворова; улица Ленина; улица Котовского; улица Панина; Р2; улица Ермакова; улица Титова; Кишинёвская улица; улица Бендерского Восстания; улица 50 лет ВЛКСМ; улица Павлика Морозова; улица Интернационалистов; Садовая улица,Садовая улица,32А,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,Р2 путепровод,да,да,9.0635,-0.2121,2.4,ENGINE_MATCHES_MANUAL_CONTROL,вариантов: 3,True,
MY-042,Протягайловка: Садовая улица 43,Садовая улица 43,Протягайловка,46.84163,29.43558,2026-07-26,YANDEX-MANUAL-BATCH-03,"Садовая улица, 43",мили (yandex.com),5.9,9.4951,20,5.9,9.4951,20,3,улица Сергея Лазо; улица Суворова; улица Ленина; улица Котовского; улица Панина; Р2; улица Ермакова; улица Титова; Кишинёвская улица; улица Бендерского Восстания; улица 50 лет ВЛКСМ; улица Павлика Морозова; улица Интернационалистов; Садовая улица,Садовая улица,43,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,Р2 путепровод,да,да,9.1212,0.3739,3.9,ENGINE_MATCHES_MANUAL_CONTROL,вариантов: 3,True,
MY-043,Протягайловка: Санаторная улица 40,Санаторная улица 40,Протягайловка,46.82669,29.44895,2026-07-26,YANDEX-MANUAL-BATCH-03,"Санаторная улица, 40",мили (yandex.com),3.9,6.2764,11,3.9,6.2764,11,3,улица Сергея Лазо; Коммунистическая улица; улица Ечина; улица Григория Старого; улица Иона Крянгэ; улица Полоза; улица Кошевого; Санаторная улица,Санаторная улица,40,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,нет,да,5.9966,0.2798,4.5,ENGINE_MATCHES_MANUAL_CONTROL,вариантов: 3,True,
MY-044,Протягайловка: Санаторная улица 52,Санаторная улица 52,Протягайловка,46.82556,29.44953,2026-07-26,YANDEX-MANUAL-BATCH-03,"Санаторная улица, 52",мили (yandex.com),4.0,6.4374,11,3.9,6.2764,14,3,улица Сергея Лазо; улица Суворова; Первомайская улица; Коммунистическая улица; улица Ечина; улица Григория Старого; улица Иона Крянгэ; улица Полоза; улица Кошевого; Санаторная улица,Санаторная улица,52,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,нет,да,5.8636,0.5738,8.9,ENGINE_MATCHES_MANUAL_CONTROL,вариантов: 3,True,
MY-045,Протягайловка: переулок Куйбышева 1,переулок Куйбышева 1,Протягайловка,46.81849,29.45515,2026-07-26,YANDEX-MANUAL-BATCH-03,"улица Куйбышева, 1А",мили (yandex.com),3.0,4.828,8,2.92,4.6993,9,3,улица Сергея Лазо; улица Суворова; Комсомольская улица; Коммунистическая улица; улица Ечина; улица Бориса Главана; улица Куйбышева,улица Куйбышева,1А,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,нет,да,4.7356,0.0924,1.9,ENGINE_MATCHES_MANUAL_CONTROL,вариантов: 3,True,
MY-046,Протягайловка: переулок Куйбышева 3,переулок Куйбышева 3,Протягайловка,46.81868,29.455,2026-07-26,YANDEX-MANUAL-BATCH-03,"улица Куйбышева, 3",мили (yandex.com),3.1,4.989,8,2.94,4.7315,9,3,улица Сергея Лазо; улица Суворова; Комсомольская улица; Коммунистическая улица; улица Ечина; улица Бориса Главана; улица Куйбышева; переулок Куйбышева,улица Куйбышева,3,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,нет,да,4.7357,0.2533,5.1,ENGINE_MATCHES_MANUAL_CONTROL,вариантов: 3,True,
MY-047,Протягайловка: улица 50 лет Победы 1,улица 50 лет Победы 1,Протягайловка,46.83041,29.44659,2026-07-26,YANDEX-MANUAL-BATCH-03,"улица 50 лет Победы, 1",мили (yandex.com),4.5,7.242,12,4.1,6.5983,12,3,улица Сергея Лазо; улица Суворова; Первомайская улица; Коммунистическая улица; улица Ечина; улица Григория Старого; улица Иона Крянгэ; улица 50 лет ВЛКСМ; улица Павлика Морозова; улица Интернационалистов,улица 50 лет Победы,1,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,нет,да,6.5454,0.6966,9.6,ENGINE_MATCHES_MANUAL_CONTROL,вариантов: 3,True,
MY-048,Протягайловка: улица 50 лет Победы 59,улица 50 лет Победы 59,Протягайловка,46.82461,29.44952,2026-07-26,YANDEX-MANUAL-BATCH-03,"улица 50 лет Победы, 59",мили (yandex.com),4.1,6.5983,12,4.0,6.4374,14,3,улица Сергея Лазо; улица Суворова; Комсомольская улица; Коммунистическая улица; улица Ечина; улица Григория Старого; улица Иона Крянгэ; улица Полоза; улица Кошевого; улица 50 лет Победы,улица 50 лет Победы,59,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,нет,да,6.2632,0.3351,5.1,ENGINE_MATCHES_MANUAL_CONTROL,вариантов: 3,True,
MY-049,Протягайловка: улица Мира 1,улица Мира 1,Протягайловка,46.81823,29.45322,2026-07-26,YANDEX-MANUAL-BATCH-03,"улица Мира, 1",мили (yandex.com),3.1,4.989,9,3.1,4.989,9,1,улица Сергея Лазо; улица Суворова; Первомайская улица; Коммунистическая улица; улица Ечина; улица Бориса Главана; улица Куйбышева; переулок Куйбышева; улица Мира,улица Мира,1,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,нет,да,4.9001,0.0889,1.8,ENGINE_MATCHES_MANUAL_CONTROL,вариантов: 1,True,
MY-051,Протягайловка: улица Мира 46,улица Мира 46,Протягайловка,46.82234,29.45033,2026-07-26,YANDEX-MANUAL-BATCH-03,"улица Мира, 46",мили (yandex.com),3.6,5.7936,9,3.5,5.6327,10,3,улица Сергея Лазо; улица Суворова; Первомайская улица; Коммунистическая улица; улица Ечина; улица Григория Старого; улица Мира,улица Мира,46,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,нет,да,5.6486,0.145,2.5,ENGINE_MATCHES_MANUAL_CONTROL,вариантов: 3,True,
MY-052,Протягайловка: улица Мунтяна 153,улица Мунтяна 153,Протягайловка,46.83824,29.42176,2026-07-26,YANDEX-MANUAL-BATCH-04,улица Мунтяна,мили (yandex.com),5.4,8.6905,17,5.2,8.3686,17,6,улица Сергея Лазо; улица Суворова; Первомайская улица; Коммунистическая улица; улица Ечина; улица Григория Старого; Первомайский переулок; улица Мунтяна,улица Мунтяна,,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,нет,да,8.886,-0.1955,2.2,ENGINE_MATCHES_MANUAL_CONTROL,вариантов: 6; адресный якорь без номера дома,True,
MY-053,Хомутяновка: улица Старого 2,улица Старого 2,Хомутяновка,46.82074,29.46505,2026-07-26,YANDEX-MANUAL-BATCH-04,"улица Григория Старого, 2А",мили (yandex.com),3.2,5.1499,9,3.2,5.1499,9,6,улица Сергея Лазо; улица Суворова; Первомайская улица; Коммунистическая улица; улица Ечина; улица Григория Старого,улица Григория Старого,2А,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,нет,нет,5.084,0.0659,1.3,ENGINE_MATCHES_MANUAL_CONTROL,вариантов: 6; активный маршрут без железнодорожного переезда,True,
MY-054,Протягайловка: улица Штефан чел Маре 10,улица Штефан чел Маре 10,Протягайловка,46.82074,29.44128,2026-07-26,YANDEX-MANUAL-BATCH-04,"улица Штефана чел Маре, 10",мили (yandex.com),3.5,5.6327,10,3.3,5.3108,11,6,улица Сергея Лазо; улица Суворова; Первомайская улица; Коммунистическая улица; улица Ечина; Протягайловская улица; Главный переулок; улица Штефана чел Маре,улица Штефана чел Маре,10,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,нет,нет,6.4612,-0.8285,14.7,ENGINE_DISAGREES_WITH_MANUAL_CONTROL,вариантов: 6,True,
MY-057,Северный: Strada Tighina 31/3,Strada Tighina 31/3,Северный,46.87711,29.47518,2026-07-26,YANDEX-MANUAL-BATCH-04,село Варница,мили (yandex.com),4.5,7.242,12,4.5,7.242,12,4,улица Сергея Лазо; улица Суворова; улица Ленина; улица Котовского; улица Панина; улица Тигина,село Варница,,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,железнодорожный переезд,нет,не определено,7.0716,0.1704,2.4,ENGINE_MATCHES_MANUAL_CONTROL,вариантов: 4; Яндекс подписал точку как село Варница,True,
MY-058,Северный: Strada Tighina 31/4,Strada Tighina 31/4,Северный,46.87683,29.47597,2026-07-26,YANDEX-MANUAL-BATCH-04,село Варница,мили (yandex.com),4.5,7.242,13,4.5,7.242,13,4,улица Сергея Лазо; улица Суворова; улица Ленина; улица Котовского; улица Панина; улица Тигина,село Варница,,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,железнодорожный переезд,нет,не определено,7.1582,0.0838,1.2,ENGINE_MATCHES_MANUAL_CONTROL,вариантов: 4; неровная дорога; Яндекс подписал точку как село Варница,True,
MY-059,Северный: Strada Tighina 31/5,Strada Tighina 31/5,Северный,46.8766,29.47523,2026-07-26,YANDEX-MANUAL-BATCH-04,село Варница,мили (yandex.com),4.5,7.242,13,4.5,7.242,13,4,улица Сергея Лазо; улица Суворова; улица Ленина; улица Котовского; улица Панина; улица Тигина,село Варница,,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,железнодорожный переезд,нет,не определено,7.1042,0.1378,1.9,ENGINE_MATCHES_MANUAL_CONTROL,вариантов: 4; Яндекс подписал точку как село Варница,True,
MY-060,Северный: Strada Tighina 31/6,Strada Tighina 31/6,Северный,46.87624,29.4753,2026-07-26,YANDEX-MANUAL-BATCH-04,село Варница,мили (yandex.com),4.4,7.0811,12,4.4,7.0811,12,4,улица Сергея Лазо; улица Суворова; улица Ленина; улица Котовского; улица Панина; улица Тигина,село Варница,,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,железнодорожный переезд,нет,не определено,6.9422,0.1389,2.0,ENGINE_MATCHES_MANUAL_CONTROL,вариантов: 4; Яндекс подписал точку как село Варница,True,
MY-062,Хомутяновка: Главная улица 3,Главная улица 3,Хомутяновка,46.81566,29.45017,2026-07-26,YANDEX-MANUAL-BATCH-04,"Главная улица, 3",мили (yandex.com),2.85,4.5866,8,2.78,4.474,9,6,улица Сергея Лазо; улица Суворова; Первомайская улица; Коммунистическая улица; улица Ечина; Протягайловская улица; улица Чернышевского,Главная улица,3,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,нет,нет,4.4589,0.1277,2.8,ENGINE_MATCHES_MANUAL_CONTROL,вариантов: 6,True,
MY-063,Хомутяновка: Деповская улица 5,Деповская улица 5,Хомутяновка,46.82875,29.47155,2026-07-26,YANDEX-MANUAL-BATCH-04,"Деповская улица, 5",мили (yandex.com),3.6,5.7936,11,3.4,5.4718,12,5,улица Сергея Лазо; улица Суворова; улица Ленина; улица Котовского; улица Панина; Р2; улица Ермакова; улица Титова; Кишинёвская улица,Деповская улица,5,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,железнодорожный переезд,да,да,7.4577,-1.6641,28.7,ENGINE_DISAGREES_WITH_MANUAL_CONTROL,вариантов: 5; разворот на улице Ермакова,True,
MY-064,Хомутяновка: Железнодорожная улица 43,Железнодорожная улица 43,Хомутяновка,46.82542,29.46011,2026-07-26,YANDEX-MANUAL-BATCH-04,"Железнодорожная улица, 43",мили (yandex.com),3.4,5.4718,10,3.3,5.3108,10,6,улица Сергея Лазо; улица Суворова; Первомайская улица; Коммунистическая улица; улица Ечина; улица Григория Старого; Железнодорожная улица,Железнодорожная улица,43,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,нет,нет,5.3614,0.1104,2.0,ENGINE_MATCHES_MANUAL_CONTROL,вариантов: 6; переезд показан только на альтернативном маршруте,True,
MY-065,Хомутяновка: Московская улица 2,Московская улица 2,Хомутяновка,46.82376,29.47073,2026-07-26,YANDEX-MANUAL-BATCH-04,"Московская улица, 2",мили (yandex.com),0.91,1.4645,5,0.91,1.4645,5,1,улица Сергея Лазо; улица Академика Фёдорова; Московская улица,Московская улица,2,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,нет,да,1.3123,0.1522,10.4,ENGINE_DISAGREES_WITH_MANUAL_CONTROL,вариантов: 1,True,
MY-066,Хомутяновка: Московская улица 9,Московская улица 9,Хомутяновка,46.82412,29.47152,2026-07-26,YANDEX-MANUAL-BATCH-04,квартал Центр,мили (yandex.com),0.82,1.3197,4,0.82,1.3197,4,1,улица Сергея Лазо; Коммунистическая улица; Московская улица,квартал Центр,,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,нет,да,1.2893,0.0304,2.3,ENGINE_MATCHES_MANUAL_CONTROL,вариантов: 1; Яндекс подписал точку как квартал Центр,True,
MY-067,Балка: Первомайская улица 2,Первомайская улица 2,Балка,46.81758,29.46651,2026-07-26,YANDEX-MANUAL-BATCH-04,"Первомайская улица, 2",мили (yandex.com),1.51,2.4301,5,1.39,2.237,7,6,улица Сергея Лазо; улица Суворова; Первомайская улица,Первомайская улица,2,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,нет,не определено,2.2936,0.1365,5.6,ENGINE_MATCHES_MANUAL_CONTROL,вариантов: 6,True,
MY-068,Кавказ: улица 28 Июня 213,улица 28 Июня 213,Кавказ,46.80377,29.48061,2026-07-26,YANDEX-MANUAL-BATCH-04,"улица Суворова, 213",мили (yandex.com),1.55,2.4945,5,1.55,2.4945,5,3,улица Сергея Лазо; улица Суворова,улица Суворова,213,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,нет,не определено,2.3699,0.1246,5.0,ENGINE_MATCHES_MANUAL_CONTROL,вариантов: 3; Яндекс подписал точку как улица Суворова 213,True,
MY-069,Хомутяновка: улица Бориса Главана 51,улица Бориса Главана 51,Хомутяновка,46.8176,29.45978,2026-07-26,YANDEX-MANUAL-BATCH-04,улица Бориса Главана,мили (yandex.com),2.76,4.4418,8,2.7,4.3452,8,6,улица Сергея Лазо; улица Суворова; Первомайская улица; Коммунистическая улица; улица Ечина; улица Бориса Главана,улица Бориса Главана,,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,нет,да,4.312,0.1298,2.9,ENGINE_MATCHES_MANUAL_CONTROL,вариантов: 6; адресный якорь без номера дома,True,
