recheck_id,original_sample_id,address_id,territory,street,our_house_number,our_lat,our_lon,original_status,original_yandex_label,original_yandex_house_number,second_checked_date,second_search_query,second_yandex_label,second_yandex_street,second_yandex_house_number,second_coordinate_distance_m,coordinate_click_label,visible_neighbor_numbers,requested_number_visible_anywhere,nearest_result_only,independent_confirmation,resolved_conflict_type,resolution_confidence,owner_review_required,evidence_summary,notes
YCR-0048,YAV-0725,n4905411203,Гиска,улица Ленина,250,46.78633,29.41245,DIFFERENT_HOUSE_NUMBER,"улица Ленина, 240, село Гиска, Бендеры, Приднестровье",240,2026-07-27,"Гиска, улица Ленина 250, Бендеры || улица Ленина 250, Гиска","улица Ленина, 240, село Гиска, Бендеры, Приднестровье",улица Ленина,240,266,"село Гиска, Бендеры, Приднестровье",,false,true,true,YANDEX_NEAREST_RESULT_ONLY,HIGH,true,Both searches substituted house 240; coordinate review returned only Giska and did not confirm 250.,
YCR-0049,YAV-0726,n4905411204,Гиска,улица Ленина,248,46.78611,29.41274,DIFFERENT_HOUSE_NUMBER,"улица Ленина, 240, село Гиска, Бендеры, Приднестровье",240,2026-07-27,"Гиска, улица Ленина 248, Бендеры || улица Ленина 248, Гиска","улица Ленина, 240, село Гиска, Бендеры, Приднестровье",улица Ленина,240,235,"улица Ленина, село Гиска, Бендеры, Приднестровье",,false,true,true,YANDEX_NEAREST_RESULT_ONLY,HIGH,true,Both searches substituted house 240; coordinate review exposed only the street and did not confirm 248.,
YCR-0050,YAV-0727,n4905411206,Гиска,улица Ленина,235,46.78284,29.41978,DIFFERENT_HOUSE_NUMBER,"улица Ленина, 234А, село Гиска, Бендеры, Приднестровье",234А,2026-07-27,"Гиска, улица Ленина 235, Бендеры || улица Ленина 235, Гиска","улица Ленина, 234А, село Гиска, Бендеры, Приднестровье",улица Ленина,234А,328,"улица Ленина, село Гиска, Бендеры, Приднестровье",,false,true,true,YANDEX_NEAREST_RESULT_ONLY,HIGH,true,Both searches substituted house 234A; coordinate review exposed only the street and did not confirm 235.,
YCR-0051,YAV-0728,n4905411230,Гиска,улица Ленина,266,46.78743,29.40939,DIFFERENT_HOUSE_NUMBER,"улица Ленина, 274, село Гиска, Бендеры, Приднестровье",274,2026-07-27,"Гиска, улица Ленина 266, Бендеры || улица Ленина 266, Гиска","улица Ленина, 274, село Гиска, Бендеры, Приднестровье",улица Ленина,274,294,"улица Ленина, село Гиска, Бендеры, Приднестровье",,false,true,true,YANDEX_NEAREST_RESULT_ONLY,HIGH,true,Both searches substituted house 274; coordinate review exposed only the street and did not confirm 266.,
YCR-0052,YAV-0729,n4905411373,Гиска,улица Ленина,253 А,46.78402,29.41662,DIFFERENT_HOUSE_NUMBER,"улица Ленина, 253Б, село Гиска, Бендеры, Приднестровье",253Б,2026-07-27,"Гиска, улица Ленина 253 А, Бендеры || улица Ленина 253 А, Гиска","улица Ленина, 253Б, село Гиска, Бендеры, Приднестровье",улица Ленина,253Б,45,"улица Ленина, село Гиска, Бендеры, Приднестровье",,false,true,true,LETTER_SUFFIX_DIFFERENCE,HIGH,true,Both searches returned 253B instead of 253A; coordinate review did not expose either suffix at the source point.,
YCR-0053,YAV-0730,n4905411401,Гиска,Театральная улица,2,46.78167,29.43207,DIFFERENT_HOUSE_NUMBER,"Театральная улица, 8, село Гиска, Бендеры, Приднестровье",8,2026-07-27,"Гиска, Театральная улица 2, Бендеры || Театральная улица 2, Гиска","Театральная улица, 8, село Гиска, Бендеры, Приднестровье",Театральная улица,8,107,"Театральная улица, село Гиска, Бендеры, Приднестровье",,false,true,true,YANDEX_NEAREST_RESULT_ONLY,HIGH,true,Both searches substituted house 8; coordinate review exposed only the street and did not confirm 2.,
YCR-0054,YAV-0731,n4905411564,Гиска,Госпитальная улица,63,46.78477,29.45282,DIFFERENT_HOUSE_NUMBER,"Госпитальная улица, 56А, село Гиска, Бендеры, Приднестровье",56А,2026-07-27,"Гиска, Госпитальная улица 63, Бендеры || Госпитальная улица 63, Гиска","Госпитальная улица, 56А, село Гиска, Бендеры, Приднестровье",Госпитальная улица,56А,368,"Госпитальная улица, село Гиска, Бендеры, Приднестровье",,false,true,true,YANDEX_NEAREST_RESULT_ONLY,HIGH,true,Both searches substituted distant house 56A; coordinate review exposed only the street and did not confirm 63.,
YCR-0055,YAV-0732,n4905411576,Гиска,Госпитальная улица,12 В,46.78624,29.45546,DIFFERENT_HOUSE_NUMBER,"Госпитальная улица, 6Б, село Гиска, Бендеры, Приднестровье",6Б,2026-07-27,"Гиска, Госпитальная улица 12 В, Бендеры || Госпитальная улица 12 В, Гиска","Госпитальная улица, 6Б, село Гиска, Бендеры, Приднестровье",Госпитальная улица,6Б,326,"Госпитальная улица, село Гиска, Бендеры, Приднестровье",,false,true,true,YANDEX_NEAREST_RESULT_ONLY,HIGH,true,Both searches substituted house 6B; coordinate review exposed only the street and did not confirm 12V.,
YCR-0056,YAV-0733,n4905411595,Гиска,улица Мира,51,46.78721,29.45512,AMBIGUOUS_REQUIRES_REVIEW,"улица Мира, село Гиска, Бендеры, Приднестровье",,2026-07-27,"Гиска, улица Мира 51, Бендеры || улица Мира 51, Гиска","улица Мира, село Гиска, Бендеры, Приднестровье",улица Мира,,0,"улица Мира, село Гиска, Бендеры, Приднестровье",,false,false,true,CANONICAL_ADDRESS_NOT_VISIBLE_IN_YANDEX,MEDIUM,true,Two searches and coordinate review exposed only the street; house 51 was not visible.,
YCR-0057,YAV-0734,n4919278864,Бендеры,улица Лермонтова,38а,46.82261,29.45645,DIFFERENT_HOUSE_NUMBER,"улица Лермонтова, 38, Бендеры, Приднестровье",38,2026-07-27,"Бендеры, улица Лермонтова 38а, Бендеры || улица Лермонтова 38а, Бендеры","улица Лермонтова, 38, Бендеры, Приднестровье",улица Лермонтова,38,245,"улица Григория Старого, 38А, Бендеры, Приднестровье",,false,true,true,CANONICAL_COORDINATE_ANCHOR_ERROR_SUSPECTED,HIGH,true,Both searches substituted Lermontova 38; the exact canonical coordinate is labeled Grigoriya Starogo 38A.,
YCR-0058,YAV-0737,n4919312077,Бендеры,2-й Братский переулок,6 Б,46.84018,29.46759,DIFFERENT_HOUSE_NUMBER,"2-й Братский переулок, 6, Бендеры, Приднестровье",6,2026-07-27,"Бендеры, 2-й Братский переулок 6 Б, Бендеры || 2-й Братский переулок 6 Б, Бендеры","2-й Братский переулок, 6, Бендеры, Приднестровье",2-й Братский переулок,6,93,"1-й Петровский переулок, 6, Бендеры, Приднестровье",,false,true,true,CANONICAL_COORDINATE_ANCHOR_ERROR_SUSPECTED,HIGH,true,Both searches returned 2nd Bratsky lane 6; the canonical coordinate is labeled 1st Petrovsky lane 6.,
YCR-0059,YAV-0738,n4988629677,Протягайловка,улица Академика Берга,144,46.84172,29.43928,AMBIGUOUS_REQUIRES_REVIEW,"улица Академика Берга, Бендеры, Приднестровье",,2026-07-27,"Протягайловка, улица Академика Берга 144, Бендеры || улица Академика Берга 144, Протягайловка","улица Академика Берга, Бендеры, Приднестровье",улица Академика Берга,,0,"улица Академика Берга, Бендеры, Приднестровье",,false,false,false,CANONICAL_ADDRESS_NOT_VISIBLE_IN_YANDEX,MEDIUM,true,Full query and coordinate review exposed only the street; the territory-short query opened Protyagailovka. House 144 was not visible.,
YCR-0060,YAV-0739,n4988629679,Протягайловка,улица Академика Берга,30,46.84298,29.43864,DIFFERENT_HOUSE_NUMBER,"улица Академика Берга, 25, Бендеры, Приднестровье",25,2026-07-27,"Протягайловка, улица Академика Берга 30, Бендеры || улица Академика Берга 30, Протягайловка","улица Академика Берга, 25, Бендеры, Приднестровье",улица Академика Берга,25,395,"улица Академика Берга, Бендеры, Приднестровье",,false,true,false,YANDEX_NEAREST_RESULT_ONLY,HIGH,true,"Full query substituted house 25, territory-short query opened only Protyagailovka, and coordinate review exposed only the street.",
YCR-0061,YAV-0740,n4988629680,Протягайловка,улица Академика Берга,19,46.84563,29.43718,DIFFERENT_HOUSE_NUMBER,"улица Академика Берга, 19/1, Бендеры, Приднестровье",19/1,2026-07-27,"Протягайловка, улица Академика Берга 19, Бендеры || улица Академика Берга 19, Протягайловка","улица Академика Берга, 19/1, Бендеры, Приднестровье",улица Академика Берга,19/1,162,"улица Академика Берга, Бендеры, Приднестровье",,false,true,false,LETTER_SUFFIX_DIFFERENCE,MEDIUM,true,"Full query returned compound number 19/1, territory-short query opened only Protyagailovka, and coordinate review exposed only the street, not 19.",
YCR-0062,YAV-0741,n4988629681,Протягайловка,улица Академика Берга,16,46.84627,29.43694,DIFFERENT_HOUSE_NUMBER,"улица Академика Берга, 12, Бендеры, Приднестровье",12,2026-07-27,"Протягайловка, улица Академика Берга 16, Бендеры || улица Академика Берга 16, Протягайловка","улица Академика Берга, 12, Бендеры, Приднестровье",улица Академика Берга,12,767,"улица Академика Берга, Бендеры, Приднестровье",,false,true,false,YANDEX_NEAREST_RESULT_ONLY,HIGH,true,Full query substituted distant house 12; territory-short query opened only Protyagailovka and coordinate review exposed only the street.,
YCR-0063,YAV-0747,n4988629869,Протягайловка,улица Академика Берга,11,46.84732,29.43629,DIFFERENT_HOUSE_NUMBER,"улица Академика Берга, 9, Бендеры, Приднестровье",9,2026-07-27,"Протягайловка, улица Академика Берга 11, Бендеры || улица Академика Берга 11, Протягайловка","улица Академика Берга, 9, Бендеры, Приднестровье",улица Академика Берга,9,51,"улица Академика Берга, Бендеры, Приднестровье",,false,true,false,YANDEX_NEAREST_RESULT_ONLY,HIGH,true,Full query substituted nearby house 9; territory-short query opened only Protyagailovka and coordinate review exposed only the street.,
YCR-0064,YAV-0748,n4988630003,Протягайловка,улица Академика Берга,29,46.84342,29.43841,DIFFERENT_HOUSE_NUMBER,"улица Академика Берга, 25, Бендеры, Приднестровье",25,2026-07-27,"Протягайловка, улица Академика Берга 29, Бендеры || улица Академика Берга 29, Протягайловка","улица Академика Берга, 25, Бендеры, Приднестровье",улица Академика Берга,25,343,"улица Академика Берга, Бендеры, Приднестровье",,false,true,false,YANDEX_NEAREST_RESULT_ONLY,HIGH,true,Full query substituted house 25; territory-short query opened only Protyagailovka and coordinate review exposed only the street.,
YCR-0065,YAV-0749,n4988630004,Протягайловка,улица Академика Берга,18,46.84584,29.43708,DIFFERENT_HOUSE_NUMBER,"улица Академика Берга, 12, Бендеры, Приднестровье",12,2026-07-27,"Протягайловка, улица Академика Берга 18, Бендеры || улица Академика Берга 18, Протягайловка","улица Академика Берга, 12, Бендеры, Приднестровье",улица Академика Берга,12,719,"улица Академика Берга, Бендеры, Приднестровье",,false,true,false,YANDEX_NEAREST_RESULT_ONLY,HIGH,true,Full query substituted distant house 12; territory-short query opened only Protyagailovka and coordinate review exposed only the street.,
YCR-0066,YAV-0750,n4988630194,Протягайловка,улица Академика Берга,21,46.84519,29.43743,DIFFERENT_HOUSE_NUMBER,"улица Академика Берга, 19/1, Бендеры, Приднестровье",19/1,2026-07-27,"Протягайловка, улица Академика Берга 21, Бендеры || улица Академика Берга 21, Протягайловка","улица Академика Берга, 19/1, Бендеры, Приднестровье",улица Академика Берга,19/1,213,"улица Академика Берга, Бендеры, Приднестровье",,false,true,false,YANDEX_NEAREST_RESULT_ONLY,HIGH,true,Full query substituted house 19/1; territory-short query opened only Protyagailovka and coordinate review exposed only the street.,
YCR-0067,YAV-0751,n4988630195,Протягайловка,улица Академика Берга,17,46.84603,29.43698,DIFFERENT_HOUSE_NUMBER,"улица Академика Берга, 19/1, Бендеры, Приднестровье",19/1,2026-07-27,"Протягайловка, улица Академика Берга 17, Бендеры || улица Академика Берга 17, Протягайловка","улица Академика Берга, 19/1, Бендеры, Приднестровье",улица Академика Берга,19/1,117,"улица Академика Берга, Бендеры, Приднестровье",,false,true,false,YANDEX_NEAREST_RESULT_ONLY,HIGH,true,Full query substituted house 19/1; territory-short query opened only Protyagailovka and coordinate review exposed only the street.,
YCR-0068,YAV-0752,n4988630196,Протягайловка,улица Академика Берга,14,46.84669,29.43661,DIFFERENT_HOUSE_NUMBER,"улица Академика Берга, 12, Бендеры, Приднестровье",12,2026-07-27,"Протягайловка, улица Академика Берга 14, Бендеры || улица Академика Берга 14, Протягайловка","улица Академика Берга, 12, Бендеры, Приднестровье",улица Академика Берга,12,820,"улица Академика Берга, Бендеры, Приднестровье",,false,true,false,YANDEX_NEAREST_RESULT_ONLY,HIGH,true,Full query substituted distant house 12; territory-short query opened only Protyagailovka and coordinate review exposed only the street.,
YCR-0069,YAV-0754,n4988630198,Протягайловка,улица Академика Берга,вагончик,46.84486,29.43768,SETTLEMENT_ONLY,"село Протягайловка, Бендеры, Приднестровье",,2026-07-27,"Протягайловка, улица Академика Берга вагончик, Бендеры || улица Академика Берга вагончик, Протягайловка","село Протягайловка, Бендеры, Приднестровье",,,0,"улица Академика Берга, Бендеры, Приднестровье",,false,false,true,CANONICAL_ADDRESS_NOT_VISIBLE_IN_YANDEX,HIGH,true,Two independent queries opened only Protyagailovka; the exact coordinate exposed the street but no addressed object for the nonnumeric token 'вагончик'.,
